state_name,state_abbr,state,eb,est_inc
Alabama,AL,1,.21667691,99179.5
Alaska,AK,2,.24907562,101820.54
Arizona,AZ,4,.2771765,104111.23
Arkansas,AR,5,.27950311,104300.88
California,CA,6,.54903126,126271.93
Colorado,CO,8,.25741315,102500.18
Connecticut,CT,9,.30390295,106289.88
Delaware,DE,10,.23022631,100284
Florida,FL,12,.23743089,100871.3
Georgia,GA,13,.32244685,107801.52
Hawaii,HI,15,.14859979,93630.078
Idaho,ID,16,.23695259,100832.3
Illinois,IL,17,.32771018,108230.56
Indiana,IN,18,.24171719,101220.7
Iowa,IA,19,.11481521,90876.07
Kansas,KS,20,.27406329,103857.45
Kentucky,KY,21,.26006562,102716.41
Louisiana,LA,22,.20264629,98035.766
Maine,ME,23,.20784865,98459.852
Maryland,MD,24,.30575648,106440.97
Massachusetts,MA,25,.41107777,115026.41
Michigan,MI,26,.29854596,105853.2
Minnesota,MN,27,.18788524,96832.5
Mississippi,MS,28,.27538574,103965.25
Missouri,MO,29,.2227734,99676.469
Montana,MT,30,.22167408,99586.852
Nebraska,NE,31,.160915,94633.969
Nevada,NV,32,.21673204,99183.992
New Hampshire,NH,33,.16035418,94588.258
New Jersey,NJ,34,.34646264,109759.2
New Mexico,NM,35,.19008651,97011.938
New York,NY,36,.28667322,104885.37
North Carolina,NC,37,.27243045,103724.34
North Dakota,ND,38,.0057232836,81983.25
Ohio,OH,39,.31843883,107474.8
Oklahoma,OK,40,.20031707,97845.898
Oregon,OR,41,.3918013,113455.06
Pennsylvania,PA,42,.32029587,107626.17
Rhode Island,RI,44,.078534447,87918.578
South Carolina,SC,45,.27027261,103548.45
South Dakota,SD,46,.18711351,96769.586
Tennessee,TN,47,.24802019,101734.5
Texas,TX,48,.32820544,108270.94
Utah,UT,49,.44249725,117587.63
Vermont,VT,50,.15345235,94025.641
Virginia,VA,51,.35616368,110550
Washington,WA,53,.61700553,131812.97
West Virginia,WV,54,.22050679,99491.695
Wisconsin,WI,55,.39482853,113701.84
Wyoming,WY,56,.098773614,89568.406
