state_name,state_abbr,state,eb,est_inc
Alabama,AL,1,.39740303,113911.7
Alaska,AK,2,.18871377,96900.039
Arizona,AZ,4,.38296223,112734.53
Arkansas,AR,5,.46427539,119362.91
California,CA,6,.45146567,118318.7
Colorado,CO,8,.33883005,109137.02
Connecticut,CT,9,.60751748,131039.54
Delaware,DE,10,.31775123,107418.74
Florida,FL,12,.32792044,108247.7
Georgia,GA,13,.50631863,122790.14
Hawaii,HI,15,.18469262,96572.242
Idaho,ID,16,.29873702,105868.77
Illinois,IL,17,.49643895,121984.78
Indiana,IN,18,.49878484,122176.01
Iowa,IA,19,.27138412,103639.05
Kansas,KS,20,.31669664,107332.78
Kentucky,KY,21,.45195806,118358.84
Louisiana,LA,22,.35923576,110800.43
Maine,ME,23,.39634553,113825.49
Maryland,MD,24,.42161545,115885.41
Massachusetts,MA,25,.50529724,122706.88
Michigan,MI,26,.43359986,116862.34
Minnesota,MN,27,.38302016,112739.25
Mississippi,MS,28,.27441835,103886.39
Missouri,MO,29,.34268221,109451.04
Montana,MT,30,.41203302,115104.29
Nebraska,NE,31,.25385353,102210.02
Nevada,NV,32,.31666195,107329.95
New Hampshire,NH,33,.24630889,101595
New Jersey,NJ,34,.51142448,123206.35
New Mexico,NM,35,.08339867,88315.094
New York,NY,36,.51627618,123601.84
North Carolina,NC,37,.39308745,113559.91
North Dakota,ND,38,.19200368,97168.219
Ohio,OH,39,.45345762,118481.09
Oklahoma,OK,40,.42056832,115800.05
Oregon,OR,41,.44516686,117805.25
Pennsylvania,PA,42,.48030689,120669.75
Rhode Island,RI,44,.16002962,94561.797
South Carolina,SC,45,.45013428,118210.17
South Dakota,SD,46,.30570656,106436.91
Tennessee,TN,47,.52013564,123916.45
Texas,TX,48,.41756773,115555.46
Utah,UT,49,.56478012,127555.73
Vermont,VT,50,.22497594,99856.008
Virginia,VA,51,.47855675,120527.08
Washington,WA,53,.42064744,115806.51
West Virginia,WV,54,.37165874,111813.11
Wisconsin,WI,55,.55280465,126579.52
Wyoming,WY,56,.13018396,92128.875
