degfield,degfield_desc,fips,state_name,est_inc,eb,libarts_mean
99,Economics,1,Alabama,117674.67,.40056092,84019.672
35,Library Science,1,Alabama,94228.766,.1215084,84019.672
53,Criminal Justice and Fire Protection,1,Alabama,88830.43,.057257481,84019.672
29,Family and Consumer Sciences,1,Alabama,90843.859,.08122126,84019.672
55,Social Sciences,1,Alabama,97343.227,.15857661,84019.672
61,Medical and Health Sciences and Services,1,Alabama,115288.38,.37215936,84019.672
14,Architecture,1,Alabama,98827.828,.17624629,84019.672
19,Communications,1,Alabama,98139.203,.16805032,84019.672
59,Transportation Sciences and Technologies,1,Alabama,115391.1,.373382,84019.672
41,"Physical Fitness, Parks, Recreation, and Leisure",1,Alabama,87207.891,.03794606,84019.672
60,Fine Arts,1,Alabama,75291.797,-.1038789,84019.672
13,Environment and Natural Resources,1,Alabama,97984.125,.16620453,84019.672
22,Cosmetology Services and Culinary Arts,1,Alabama,94490.953,.12462895,84019.672
62,Business,1,Alabama,104786.18,.24716249,84019.672
33,"English Language, Literature, and Composition",1,Alabama,90860.078,.08141432,84019.672
24,Engineering,1,Alabama,125986.77,.49949139,84019.672
40,Interdisciplinary and Multi-Disciplinary Studies (General),1,Alabama,96413.25,.14750807,84019.672
25,Engineering Technologies,1,Alabama,108260.27,.28851095,84019.672
37,Mathematics and Statistics,1,Alabama,110697.44,.31751806,84019.672
32,Law,1,Alabama,94296.344,.12231267,84019.672
52,Psychology,1,Alabama,89258.648,.062354211,84019.672
36,Biology and Life Sciences,1,Alabama,113380.8,.34945542,84019.672
23,Education Administration and Teaching,1,Alabama,89308.32,.062945321,84019.672
48,Philosophy and Religious Studies,1,Alabama,91627.242,.090545133,84019.672
11,Agriculture,1,Alabama,97993.211,.16631266,84019.672
56,Construction Services,1,Alabama,114029.63,.3571777,84019.672
50,Physical Sciences,1,Alabama,120026.71,.42855486,84019.672
26,Linguistics and Foreign Languages,1,Alabama,95340.969,.13474582,84019.672
64,History,1,Alabama,90002.586,.071208522,84019.672
15,"Area, Ethnic, and Civilization Studies",1,Alabama,98044.531,.16692348,84019.672
21,Computer and Information Sciences,1,Alabama,102224.8,.21667691,84019.672
51,"Nuclear, Industrial Radiology, and Biological Technologies",1,Alabama,106969.89,.27315295,84019.672
20,Communication Technologies,1,Alabama,97589.711,.16151029,84019.672
49,Theology and Religious Vocations,1,Alabama,74078.664,-.11831762,84019.672
54,"Public Affairs, Policy, and Social Work",1,Alabama,91667.516,.091024414,84019.672
48,Philosophy and Religious Studies,2,Alaska,114223.92,.27072194,89889
14,Architecture,2,Alaska,113133.37,.25858971,89889
29,Family and Consumer Sciences,2,Alaska,112815.7,.25505576,89889
25,Engineering Technologies,2,Alaska,111436.2,.23970903,89889
26,Linguistics and Foreign Languages,2,Alaska,113888.55,.26699096,89889
36,Biology and Life Sciences,2,Alaska,110595.21,.23035313,89889
61,Medical and Health Sciences and Services,2,Alaska,104241.87,.15967324,89889
20,Communication Technologies,2,Alaska,112552.12,.25212333,89889
13,Environment and Natural Resources,2,Alaska,112906.97,.256071,89889
55,Social Sciences,2,Alaska,114533.32,.2741639,89889
21,Computer and Information Sciences,2,Alaska,112278.16,.24907562,89889
33,"English Language, Literature, and Composition",2,Alaska,114934.11,.27862266,89889
24,Engineering,2,Alaska,108669.06,.20892499,89889
23,Education Administration and Teaching,2,Alaska,113712.86,.2650364,89889
54,"Public Affairs, Policy, and Social Work",2,Alaska,114503.52,.27383244,89889
53,Criminal Justice and Fire Protection,2,Alaska,113937.34,.26753378,89889
64,History,2,Alaska,112784.09,.25470409,89889
15,"Area, Ethnic, and Civilization Studies",2,Alaska,112910.29,.25610799,89889
32,Law,2,Alaska,111836.24,.2441594,89889
51,"Nuclear, Industrial Radiology, and Biological Technologies",2,Alaska,112809.22,.2549836,89889
52,Psychology,2,Alaska,115945.62,.28987548,89889
49,Theology and Religious Vocations,2,Alaska,111829.53,.24408469,89889
37,Mathematics and Statistics,2,Alaska,111341.08,.2386508,89889
35,Library Science,2,Alaska,107685.11,.19797873,89889
99,Economics,2,Alaska,107364.09,.19440743,89889
41,"Physical Fitness, Parks, Recreation, and Leisure",2,Alaska,113566.96,.26341337,89889
50,Physical Sciences,2,Alaska,112911.81,.25612494,89889
11,Agriculture,2,Alaska,112659,.25331244,89889
59,Transportation Sciences and Technologies,2,Alaska,105123.54,.16948171,89889
19,Communications,2,Alaska,113240.29,.25977919,89889
62,Business,2,Alaska,111366.39,.23893239,89889
56,Construction Services,2,Alaska,110609.09,.23050752,89889
60,Fine Arts,2,Alaska,123864.41,.37797064,89889
